index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,trans_mean,stat_mean,transition_entropy_c,stationary_entropy_c
1234,big,76,E,440,0.5700597402265267,1.040155786134102,0.0,20,0.45144281473425507,0.7325878618973047,0.11861692549227165,0.30756792423679724
1235,big,76,E,450,0.5582686453342582,1.0420276123278185,0.0,20,0.45144281473425507,0.7325878618973047,0.10682583060000317,0.30943975043051375
1236,big,76,E,460,0.5683824477780894,1.023706143256519,0.0,20,0.45144281473425507,0.7325878618973047,0.11693963304383437,0.29111828135921436
1237,big,76,E,470,0.3241840655065474,0.7458018399653612,0.0,20,0.45144281473425507,0.7325878618973047,-0.1272587492277077,0.013213978068056464
1238,big,76,E,480,0.6548117741161795,0.4725877635374071,0.0,20,0.45144281473425507,0.7325878618973047,0.20336895938192445,-0.2600000983598976
1239,big,76,E,490,0.5777515118845234,0.4858257584356278,0.0,20,0.45144281473425507,0.7325878618973047,0.12630869715026838,-0.24676210346167693
1240,big,76,E,500,0.0,0.4614998023598949,0.0,20,0.45144281473425507,0.7325878618973047,-0.45144281473425507,-0.27108805953740983
1241,big,76,E,510,0.0,0.688902796073388,0.0,20,0.45144281473425507,0.7325878618973047,-0.45144281473425507,-0.043685065823916736
1242,big,76,E,520,0.0,0.5649894187493684,0.0,20,0.45144281473425507,0.7325878618973047,-0.45144281473425507,-0.16759844314793637
1243,big,76,E,530,0.4505700426273066,0.8788954436288702,0.0,20,0.45144281473425507,0.7325878618973047,-0.0008727721069484717,0.14630758173156544
1244,big,76,E,540,0.6128845591163936,0.8271580340558495,0.0,20,0.45144281473425507,0.7325878618973047,0.16144174438213854,0.0945701721585448
1245,big,76,E,550,0.5081739076411177,0.709586185283136,1.0,20,0.45144281473425507,0.7325878618973047,0.056731092906862624,-0.023001676614168742
1246,big,76,E,560,0.5664641579867173,0.6076573162406775,1.0,20,0.45144281473425507,0.7325878618973047,0.11502134325246227,-0.1249305456566272
1247,big,76,E,570,0.754249192072364,0.9335102894571228,1.0,20,0.45144281473425507,0.7325878618973047,0.3028063773381089,0.20092242755981804
1248,big,76,E,580,0.7638899471377641,0.9841128210852266,1.0,20,0.45144281473425507,0.7325878618973047,0.3124471324035091,0.25152495918792184
1249,big,76,E,590,0.8399129819239175,0.995533338138254,0.0,20,0.45144281473425507,0.7325878618973047,0.38847016718966243,0.2629454762409492
1250,big,76,E,600,0.3028751206493268,0.3896909589850216,0.0,20,0.45144281473425507,0.7325878618973047,-0.14856769408492826,-0.34289690291228314
1251,big,76,E,610,0.2034308238744342,0.2039734217817652,0.0,20,0.45144281473425507,0.7325878618973047,-0.24801199085982087,-0.5286144401155395
1252,big,76,E,620,0.1217008528320648,0.8872967396437474,0.0,20,0.45144281473425507,0.7325878618973047,-0.3297419619021903,0.1547088777464427
1253,big,76,E,630,0.1511238230613529,0.9297291221304508,0.0,20,0.45144281473425507,0.7325878618973047,-0.30031899167290216,0.19714126023314604
1254,big,76,E,640,0.0562157318260439,0.7129159453151588,0.0,20,0.45144281473425507,0.7325878618973047,-0.3952270829082112,-0.019671916582145954
1255,big,76,E,650,0.0,0.0,0.0,20,0.45144281473425507,0.7325878618973047,-0.45144281473425507,-0.7325878618973047
1256,big,76,E,660,0.4496737643728853,0.4245923019777518,0.0,20,0.45144281473425507,0.7325878618973047,-0.0017690503613697617,-0.30799555991955296
1257,big,76,E,670,0.1240818113548934,0.5047041940480849,0.0,20,0.45144281473425507,0.7325878618973047,-0.3273610033793617,-0.22788366784921987
1258,big,76,E,680,0.1040173548209526,0.4350473164208257,0.0,20,0.45144281473425507,0.7325878618973047,-0.3474254599133025,-0.297540545476479
1259,big,76,E,690,0.0,0.0,0.0,20,0.45144281473425507,0.7325878618973047,-0.45144281473425507,-0.7325878618973047
1260,big,76,E,740,0.0,0.6138935320243741,0.0,20,0.45144281473425507,0.7325878618973047,-0.45144281473425507,-0.1186943298729306
1261,big,76,E,750,0.6039482520415554,0.8698316029156866,0.0,20,0.45144281473425507,0.7325878618973047,0.15250543730730037,0.13724374101838188
1262,big,76,E,760,0.6234985910614708,0.7743567520953536,0.0,20,0.45144281473425507,0.7325878618973047,0.1720557763272157,0.04176889019804886
1263,big,76,E,770,0.3568628234109436,0.6900355112835568,0.0,20,0.45144281473425507,0.7325878618973047,-0.09457999132331146,-0.04255235061374796
1264,big,76,E,780,0.2726182459890794,0.4419655483168515,0.0,20,0.45144281473425507,0.7325878618973047,-0.17882456874517566,-0.29062231358045326
1265,big,76,E,790,0.2289792791531365,0.1003035167754169,0.0,20,0.45144281473425507,0.7325878618973047,-0.22246353558111856,-0.6322843451218878
1266,big,76,E,800,0.2380210977977337,0.2030191043683138,0.0,20,0.45144281473425507,0.7325878618973047,-0.21342171693652137,-0.5295687575289909
1267,big,76,E,810,0.3948804645390328,0.2427269358238651,0.0,20,0.45144281473425507,0.7325878618973047,-0.056562350195222266,-0.4898609260734397
1273,big,77,H,50,0.0,0.0,1.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
1274,big,77,H,60,0.4789180982896612,0.9802773298498892,1.0,80,0.3882272694689143,0.4828100235501478,0.09069082882074692,0.49746730629974145
1275,big,77,H,70,0.2891377289861156,0.5491367376833262,1.0,80,0.3882272694689143,0.4828100235501478,-0.09908954048279867,0.06632671413317837
1276,big,77,H,80,0.2831983578674941,0.4762085398918272,1.0,80,0.3882272694689143,0.4828100235501478,-0.1050289116014202,-0.006601483658320584
1277,big,77,H,90,0.0,0.0,1.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
1278,big,77,H,100,0.0,0.0,1.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
1279,big,77,H,110,0.0,0.0,1.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
1280,big,77,H,120,0.2524446384388222,0.0938905483325501,1.0,80,0.3882272694689143,0.4828100235501478,-0.13578263103009208,-0.3889194752175977
1281,big,77,H,130,0.3174498096515923,0.1112923486870684,0.0,80,0.3882272694689143,0.4828100235501478,-0.07077745981732197,-0.3715176748630794
1282,big,77,H,140,0.5608943366333239,0.2766279896836749,0.0,80,0.3882272694689143,0.4828100235501478,0.1726670671644096,-0.20618203386647288
1283,big,77,H,150,0.0,0.4003688794513377,0.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.08244114409881009
1284,big,77,H,160,0.0,0.442628450487547,0.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.040181573062600784
1285,big,77,H,170,0.0,0.4737591049998774,0.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.009050918550270404
1286,big,77,H,190,0.6396233298905073,0.7780095133186216,1.0,80,0.3882272694689143,0.4828100235501478,0.251396060421593,0.29519948976847377
1287,big,77,H,200,0.7202498145501373,0.8160147800479393,1.0,80,0.3882272694689143,0.4828100235501478,0.332022545081223,0.33320475649779147
1288,big,77,H,210,0.5737270152157392,0.79230111719435,1.0,80,0.3882272694689143,0.4828100235501478,0.18549974574682493,0.30949109364420224
1289,big,77,H,220,0.6705819615482383,0.7896832515457162,0.0,80,0.3882272694689143,0.4828100235501478,0.28235469207932407,0.3068732279955684
1290,big,77,H,230,0.5809674825449873,0.8567013421212721,0.0,80,0.3882272694689143,0.4828100235501478,0.19274021307607303,0.37389131857112434
1291,big,77,H,240,0.7221703164529577,0.7854498800206663,0.0,80,0.3882272694689143,0.4828100235501478,0.3339430469840434,0.3026398564705185
1292,big,77,H,250,0.7078725684595824,0.8714550502607189,0.0,80,0.3882272694689143,0.4828100235501478,0.31964529899066807,0.3886450267105711
1293,big,77,H,260,0.7289965116740217,0.6029522553425106,1.0,80,0.3882272694689143,0.4828100235501478,0.3407692422051074,0.12014223179236283
1295,big,77,H,280,0.4436410746983266,0.5869517063737806,1.0,80,0.3882272694689143,0.4828100235501478,0.055413805229412305,0.10414168282363279
1297,big,77,H,300,0.3734532354158363,0.6382706047408679,0.0,80,0.3882272694689143,0.4828100235501478,-0.014774034053077978,0.15546058119072015
1298,big,77,H,310,0.0,0.0,0.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
1299,big,77,H,320,0.0,0.0,0.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
1300,big,77,H,330,0.0,0.0,0.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
1301,big,77,H,340,0.0,0.4510530552067739,0.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.03175696834337388
1302,big,77,H,350,0.0,0.5219037966562513,1.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,0.03909377310610351
1303,big,77,H,360,0.8475095415826444,0.4843237542414607,1.0,80,0.3882272694689143,0.4828100235501478,0.4592822721137301,0.0015137306913128867
1304,big,77,H,370,0.8134833157962575,0.3542624667880046,0.0,80,0.3882272694689143,0.4828100235501478,0.42525604632734326,-0.1285475567621432
1305,big,77,H,380,0.8557436226103923,0.2269704056731653,1.0,80,0.3882272694689143,0.4828100235501478,0.467516353141478,-0.2558396178769825
1306,big,77,H,390,0.4505612088663046,0.0,1.0,80,0.3882272694689143,0.4828100235501478,0.06233393939739029,-0.4828100235501478
1307,big,77,H,400,0.3767701612564367,0.0,0.0,80,0.3882272694689143,0.4828100235501478,-0.011457108212477585,-0.4828100235501478
1308,big,77,H,410,0.0,0.0,1.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
1309,big,77,H,420,0.0,0.0,1.0,80,0.3882272694689143,0.4828100235501478,-0.3882272694689143,-0.4828100235501478
