index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,NA
18975,big,383,H,480,0.8250475341549184,1.3471994614705245,0.0,80,False
18976,big,383,H,490,0.7693789104853708,1.328938304244475,0.0,80,False
18977,big,383,H,500,0.0,0.7603661966933462,0.0,80,False
18978,big,383,H,510,0.4872291712499025,1.420396711862486,0.0,80,False
18979,big,383,H,520,0.8233156557522459,1.412589502764471,0.0,80,False
18980,big,383,H,530,0.933671074980086,1.3606976273894036,0.0,80,False
18981,big,383,H,540,1.0053849473410632,1.2737641236039117,0.0,80,False
18982,big,383,H,550,0.912403734077073,1.256016378927012,1.0,80,False
18983,big,383,H,560,0.8735571357198397,1.3206866395470562,1.0,80,False
18984,big,383,H,570,0.7501628248671669,1.264625049884498,1.0,80,False
18985,big,383,H,580,0.8450207895947884,1.2853789260200337,1.0,80,False
18986,big,383,H,590,0.6745548313664024,1.044381179179314,0.0,80,False
18987,big,383,H,600,0.9125870576087736,1.167064678609258,0.0,80,False
18988,big,383,H,610,0.7019252820179015,0.9065003381985696,0.0,80,False
18989,big,383,H,620,0.7054680233486859,1.0271344391576156,0.0,80,False
18990,big,383,H,630,0.355440371294545,0.8500040518219272,0.0,80,False
18991,big,383,H,640,0.4701422033378337,0.8730365675251607,0.0,80,False
18992,big,383,H,650,0.1854114462681903,0.7273399252001588,0.0,80,False
18993,big,383,H,660,0.4332169878499758,0.8003396939103371,0.0,80,False
18994,big,383,H,670,0.5090227948848067,1.0609219265460563,0.0,80,False
18995,big,383,H,680,0.6537280504602621,1.504008492006699,0.0,80,False
18996,big,383,H,690,0.7756867670351848,1.423423348208241,0.0,80,False
18997,big,383,H,700,0.9217602472523814,1.5149415478657215,0.0,80,False
18998,big,383,H,710,1.0803486071514252,1.459216198437668,1.0,80,False
18999,big,383,H,720,1.3259940168306537,1.279907948113673,1.0,80,False
19000,big,383,H,730,1.0496084872056564,1.2262766144664137,1.0,80,False
19001,big,383,H,740,0.8386210219756431,1.0669553315565452,0.0,80,False
19002,big,383,H,750,0.7761777566390263,1.4314805736188492,0.0,80,False
19003,big,383,H,760,0.8563479797805237,1.4763553116050872,0.0,80,False
19004,big,383,H,770,0.5335108687036516,1.044317260043044,0.0,80,False
19005,big,383,H,780,0.1003225609373281,0.7978233179981917,0.0,80,False
19006,big,383,H,790,0.5851586010990899,0.9857679819243532,0.0,80,False
19007,big,383,H,800,0.498984543767221,1.1125092671436971,0.0,80,False
19008,big,383,H,810,0.4312399460478724,0.704446751431847,0.0,80,False
19014,big,384,L,50,0.1529704214518264,0.8047804371179018,1.0,80,False
19015,big,384,L,60,0.0679133791196545,0.7000722619130774,1.0,80,False
19016,big,384,L,70,0.1278696047202562,0.8007729398619743,1.0,80,False
19017,big,384,L,80,0.0985856900760559,0.7116735797397593,1.0,80,False
19018,big,384,L,90,0.2251985227739567,0.9438088683434324,1.0,80,False
19019,big,384,L,100,0.1412084260474508,0.807977777937614,1.0,80,False
19020,big,384,L,110,0.2035090472145583,0.8462482588336266,1.0,80,False
19021,big,384,L,120,0.2074502271855747,0.7391541772229104,1.0,80,False
19022,big,384,L,130,0.3145089178525071,0.8902782964773766,0.0,80,False
19023,big,384,L,140,0.4599090942421795,1.1401247173690368,0.0,80,False
19024,big,384,L,150,0.2799238839171685,0.8487227691521528,0.0,80,False
19025,big,384,L,160,0.2047937668748223,0.6902935711474647,0.0,80,False
19026,big,384,L,170,0.0,0.5674296652381102,0.0,80,False
19027,big,384,L,180,0.3112459177349742,1.0144687844973963,0.0,80,False
19028,big,384,L,190,0.3731639940674843,1.0860179191555133,1.0,80,False
19029,big,384,L,200,0.4482764267935262,1.021766934519144,1.0,80,False
19030,big,384,L,210,0.2010780655119619,0.8305285236235498,1.0,80,False
19031,big,384,L,220,0.1594394468860517,0.7768217067692695,0.0,80,False
19032,big,384,L,230,0.0942776998010317,0.7534547665925074,0.0,80,False
19033,big,384,L,240,0.2785317657145019,0.8162182704514012,0.0,80,False
19034,big,384,L,250,0.4137032952305653,1.0206958254185805,0.0,80,False
19035,big,384,L,260,0.4952076154065847,0.649481742852203,1.0,80,False
19037,big,384,L,280,0.0,0.3940098910091843,1.0,80,False
19039,big,384,L,300,0.1295574358247177,0.7207214344489189,0.0,80,False
19040,big,384,L,310,0.1165558285289307,0.7244949955471307,0.0,80,False
19041,big,384,L,320,0.0,0.693146116949797,0.0,80,False
19042,big,384,L,330,0.0,0.6733245352735626,0.0,80,False
19043,big,384,L,340,0.0,0.639771382377166,0.0,80,False
19044,big,384,L,350,0.3349291646560716,0.6108556479869982,1.0,80,False
19045,big,384,L,360,0.3694415648674652,0.6254211960931486,1.0,80,False
19046,big,384,L,370,0.281828306930989,0.7321610175807222,0.0,80,False
19047,big,384,L,380,0.2050694342323635,0.7989762657415926,1.0,80,False
19048,big,384,L,390,0.4278824838304917,0.6422421292128899,1.0,80,False
19049,big,384,L,400,0.4117064429531203,0.4013959369230113,0.0,80,False
19050,big,384,L,410,0.0,0.435260991340643,1.0,80,False
19051,big,384,L,420,0.0,0.5681306704653901,1.0,80,False
19053,big,384,L,440,0.0,0.5901001983772489,0.0,80,False
19054,big,384,L,450,0.0,0.5421804881813362,0.0,80,False
19055,big,384,L,460,0.0,0.4880547951186157,0.0,80,False
19056,big,384,L,470,0.0,0.3334155492604377,0.0,80,False
19057,big,384,L,480,0.0,0.6103147499276547,0.0,80,False
19058,big,384,L,490,0.0,0.5569949375745841,0.0,80,False
19059,big,384,L,500,0.0,0.6025617326420191,0.0,80,False
19060,big,384,L,510,0.0,0.5081572259856161,0.0,80,False
19061,big,384,L,520,0.0,0.55713564938838,0.0,80,False
