index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,trans_mean,stat_mean,transition_entropy_c,stationary_entropy_c
8886,big,193,L,250,0.0,0.6795637280965563,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.010211835892675158
8887,big,193,L,260,0.0,0.6210697575011976,1.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.0482821347026835
8889,big,193,L,280,0.5101407665743724,0.6563049340200332,1.0,80,0.20823306894003385,0.6693518922038811,0.3019076976343385,-0.013046958183847934
8891,big,193,L,300,0.5348886667560432,0.4917195671832428,0.0,80,0.20823306894003385,0.6693518922038811,0.32665559781600934,-0.17763232502063836
8892,big,193,L,310,0.0,0.6912495809713961,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.021897688767514967
8893,big,193,L,320,0.0,0.6931446421206533,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.02379274991677216
8894,big,193,L,330,0.0,0.6927101344697328,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.023358242265851703
8895,big,193,L,340,0.0,0.6894939077573475,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.020142015553466397
8896,big,193,L,350,0.0,0.692841760672551,1.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.02348986846866985
8897,big,193,L,360,0.0,0.6722984060109145,1.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.0029465138070333685
8898,big,193,L,370,0.0,0.6441251293441148,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.025226762859766327
8899,big,193,L,380,0.0,0.6426728479353425,1.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.02667904426853862
8900,big,193,L,390,0.1888482393090611,0.8267362508753453,1.0,80,0.20823306894003385,0.6693518922038811,-0.01938482963097274,0.15738435867146416
8901,big,193,L,400,0.5128327715497685,0.9314702337223596,0.0,80,0.20823306894003385,0.6693518922038811,0.3045997026097346,0.26211834151847846
8902,big,193,L,410,0.513674113996142,0.9435871331308818,1.0,80,0.20823306894003385,0.6693518922038811,0.3054410450561082,0.2742352409270007
8903,big,193,L,420,0.4856723283375303,0.4513411254041777,1.0,80,0.20823306894003385,0.6693518922038811,0.2774392593974965,-0.21801076679970344
8905,big,193,L,440,0.6275927305612873,0.0737317435831864,0.0,80,0.20823306894003385,0.6693518922038811,0.41935966162125343,-0.5956201486206947
8906,big,193,L,450,0.6029755258239304,0.2063641020107531,0.0,80,0.20823306894003385,0.6693518922038811,0.3947424568838966,-0.4629877901931281
8907,big,193,L,460,0.0,0.6229671231586245,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.04638476904525668
8908,big,193,L,470,0.0,0.5793330536203692,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.0900188385835119
8909,big,193,L,480,0.0,0.5789519164834667,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.09039997572041447
8910,big,193,L,490,0.0,0.6049814304616233,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.0643704617422578
8911,big,193,L,500,0.0,0.6462553279782579,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.02309656422562323
8912,big,193,L,510,0.3167734327601441,0.6331606636459863,0.0,80,0.20823306894003385,0.6693518922038811,0.10854036382011023,-0.036191228557894806
8913,big,193,L,520,0.3268973587149036,0.5313983519935335,0.0,80,0.20823306894003385,0.6693518922038811,0.11866428977486976,-0.13795354021034767
8914,big,193,L,530,0.2970039609868575,0.5433292488946524,0.0,80,0.20823306894003385,0.6693518922038811,0.08877089204682365,-0.12602264330922874
